iteration,loss,ppl,time
1,10.70036,44371.82611274912,0.0001540127314814815
2,10.70063,44383.808123298215,0.00027944097222222227
3,10.70043,44374.93224929056,0.0003763854166666667
4,10.69776,44256.609211732844,0.00047570254629629633
5,10.69139,43975.59060555278,0.0005728206018518519
6,10.6864,43756.69899719568,0.0006700613425925926
7,10.66213,42707.50735332617,0.0007674907407407408
8,10.65466,42389.67087062185,0.0008645925925925926
9,10.56781,38863.46946175396,0.0009619976851851852
10,10.53886,37754.50177933952,0.0010594456018518518
11,10.52414,37202.82580960444,0.0011565949074074074
12,10.28194,29200.46754665703,0.0012538321759259258
13,10.24991,28279.996606103003,0.0013511666666666665
14,10.16897,26081.19928923525,0.0014484560185185184
15,10.13051,25097.16072009108,0.001545704861111111
16,9.775805,17602.654614116178,0.0016430648148148146
17,9.730445,16822.036461347987,0.0017402893518518516
18,9.649415,15512.710513610093,0.0018374930555555553
19,9.593868,14674.52094690116,0.0019346944444444442
20,9.436821,12541.783136861508,0.002031983796296296
21,9.359436,11607.839873805257,0.002129210648148148
22,9.300646,10945.087451370411,0.0022264062499999997
23,9.199588,9893.052281445507,0.0023235104166666664
24,9.150072,9415.118242868351,0.002420731481481481
25,9.056635,8575.246345845735,0.002518049768518518
26,9.030943,8357.737203471883,0.0026154745370370364
27,8.968324,7850.433247360024,0.0027126215277777773
28,8.91785,7464.024313816728,0.0028098541666666662
29,8.885188,7224.172691084632,0.002906854166666666
30,8.828615,6826.8251121254925,0.0030039907407407402
31,8.771439,6447.443663567547,0.003100881944444444
32,8.735734,6221.2989603553515,0.0031979826388888882
33,8.697743,5989.378922454785,0.0032950833333333326
34,8.680264,5885.600184701576,0.0033930405092592584
35,8.629514,5594.358733677903,0.00349195486111111
36,8.61598,5519.154735946517,0.0035899733796296287
37,8.582987,5340.032403462665,0.0036871203703703693
38,8.570308,5272.753548215402,0.0037839884259259246
39,8.520714,5017.635069553782,0.0038812013888888876
40,8.503695,4932.962503256483,0.003979046296296295
41,8.490107,4866.386748779232,0.00407757986111111
42,8.460974,4726.659522702945,0.0041769178240740725
43,8.415518,4516.614555294477,0.004276576388888887
44,8.398115,4438.691922632874,0.004374171296296294
45,8.34998,4230.096140361966,0.004471966435185183
46,8.32994,4146.168774674859,0.004569385416666664
47,8.285372,3965.439607784935,0.004667104166666664
48,8.273531,3918.761739098635,0.004765703703703701
49,8.213041,3688.742894525786,0.00486548958333333
50,8.204088,3655.864977002698,0.004963204861111108
51,8.174612,3549.677381893798,0.005060567129629627
52,8.140577,3430.8969245010094,0.005158982638888886
53,8.120735,3363.4920034037564,0.005256445601851849
54,8.088053,3255.34324273447,0.005354329861111108
55,8.070163,3197.6229991497034,0.005453734953703701
56,8.027964,3065.4939695459266,0.005552813657407405
57,7.988067,2945.5976126545747,0.00565056134259259
58,7.995071,2966.300996950017,0.0057481481481481455
59,7.961517,2868.421048372274,0.005845781249999998
60,7.928906,2776.3877742455006,0.005943199074074072
61,7.901042,2700.0943612693254,0.006040589120370368
62,7.881455,2647.7221942068695,0.006138813657407405
63,7.879535,2642.643444753659,0.006238082175925924
64,7.857181,2584.2251669017865,0.006336403935185183
65,7.828436,2510.999098155466,0.006433868055555553
66,7.815215,2478.0196699735093,0.006531653935185183
67,7.764051,2354.4230804864173,0.0066290960648148125
68,7.758534,2341.4694936765773,0.006726726851851849
69,7.757872,2339.919953826043,0.006824888888888886
70,7.704248,2217.7490077773273,0.006923508101851849
71,7.710853,2232.445722443986,0.007021447916666664
72,7.689076,2184.355285182404,0.0071189143518518485
73,7.644015,2088.1107734210123,0.007216406249999996
74,7.646322,2092.933605973618,0.0073135925925925886
75,7.612273,2022.870861531612,0.007411390046296293
76,7.59883,1995.859373038794,0.0075097557870370335
77,7.579844,1958.3234431008175,0.007608913194444441
78,7.541632,1884.9036791832325,0.00770713657407407
79,7.506225,1819.3325826762375,0.007804300925925922
80,7.532442,1867.6607669090274,0.007901725694444441
81,7.480941,1773.9092393912688,0.007998929398148145
82,7.483738,1778.8778088390397,0.008096726851851848
83,7.440059,1702.8506863774958,0.008195035879629626
84,7.381428,1605.8813298068196,0.008293866898148145
85,7.401962,1639.1973823231385,0.008392386574074071
86,7.384073,1610.134508273069,0.008489751157407405
87,7.372224,1591.1686098483565,0.00858730671296296
88,7.346547,1550.8322479856474,0.00868472685185185
89,7.330997,1526.9033359908487,0.008783084490740738
90,7.268513,1434.4158899539111,0.008882033564814812
91,7.265186,1429.6515182151295,0.00898114583333333
92,7.283283,1455.7594468040447,0.009079046296296293
93,7.229837,1379.997546153456,0.009176569444444442
94,7.18757,1322.8846869015688,0.009273765046296295
95,7.175488,1306.9977602950605,0.009370958333333332
96,7.154748,1280.1697944112896,0.009468156249999998
97,7.124071,1241.4942829699464,0.00956571412037037
98,7.126376,1244.3592278727322,0.009664587962962962
99,7.064913,1170.1801613531563,0.009762530092592592
100,7.043724,1145.6460583918247,0.009860215277777777
101,7.039773,1141.1285410473195,0.009961122685185184
102,7.006207,1103.4611291282217,0.010060734953703703
103,6.973543,1067.9999791524908,0.010159730324074074
104,6.983844,1079.0583050617083,0.010257347222222222
105,6.941454,1034.2729550802715,0.010354511574074073
106,6.937689,1030.3862387391614,0.010451730324074072
107,6.892391,984.7531493822488,0.010550753472222221
108,6.8673,960.3521114750221,0.01064800810185185
109,6.837362,932.0272011099632,0.010745249999999998
110,6.834875,929.7121294456769,0.010842739583333332
111,6.80763,904.7240680255634,0.010940374999999999
112,6.782568,882.3316449380656,0.011038103009259259
113,6.778424,878.6828281714616,0.011135766203703703
114,6.734766,841.1466327443572,0.011233204861111111
115,6.707211,818.2852563852933,0.01133064351851852
116,6.715508,825.1028126796874,0.0114280625
117,6.67705,793.9734322142726,0.01152571064814815
118,6.633334,760.0118307989965,0.01162312962962963
119,6.635981,762.0262470188034,0.011720641203703705
120,6.589687,727.5531101328128,0.011818017361111113
121,6.598121,733.7152422475965,0.011915483796296299
122,6.562906,708.3271052050089,0.012012773148148151
123,6.556939,704.1131023490927,0.012110061342592595
124,6.543181,694.4922478992554,0.012207501157407409
125,6.508631,670.9073164936585,0.012304738425925927
126,6.499802,665.0099480382647,0.012402024305555558
127,6.478331,650.8837143092969,0.012499325231481484
128,6.46048,639.3678795083202,0.01259679166666667
129,6.424434,616.7316486242394,0.012695247685185188
130,6.40984,607.7964258531282,0.012792682870370373
131,6.417359,612.3836713166604,0.012890098379629632
132,6.419248,613.5415573508274,0.01298742476851852
133,6.364107,580.6260976330576,0.013084778935185188
134,6.3366,564.8724762958382,0.013182203703703706
135,6.329044,560.620384498177,0.013279482638888892
136,6.342155,568.019074486657,0.013376877314814817
137,6.302963,546.1878695572713,0.01347449652777778
138,6.282654,535.2072205314438,0.013571888888888892
139,6.264686,525.6764976215601,0.013669940972222225
140,6.267025,526.9074940385831,0.013767181712962966
141,6.228944,507.2195767138039,0.013864394675925928
142,6.220255,502.8314376899323,0.013961615740740743
143,6.189392,487.5495859331618,0.014059133101851855
144,6.210479,497.9397072918275,0.014156575231481484
145,6.172062,479.17314312547416,0.014253909722222225
146,6.168102,477.27936962501064,0.01435135416666667
147,6.15264,469.95643550820097,0.014448605324074078
148,6.120248,454.9775149329164,0.014545900462962967
149,6.108161,449.51130330881847,0.014643342592592597
150,6.106568,448.79580185086655,0.014741534722222227
151,6.087132,440.1572282436228,0.014839811342592598
152,6.056757,426.98846550717,0.01493740393518519
153,6.059815,428.29619473359077,0.015034763888888894
154,6.04119,420.3930050214195,0.015131914351851856
155,6.015517,409.73761851566144,0.015229201388888893
156,6.031786,416.4581598424273,0.015327348379629634
157,5.986534,398.03263523473385,0.01542577430555556
158,6.000951,403.812636763893,0.015524895833333337
159,6.003704,404.9258646079345,0.015622684027777781
160,5.971043,391.9142241880613,0.01572022916666667
161,5.918124,371.7137244197678,0.015817767361111113
162,5.946755,382.5100777582864,0.01591517013888889
163,5.900289,365.1429789391576,0.01601318287037037
164,5.883173,358.94637353839573,0.016112122685185186
165,5.903988,366.49614395404757,0.01621191087962963
166,5.877089,356.76917355988337,0.016310850694444445
167,5.898748,364.5807269350458,0.01640841898148148
168,5.856288,349.4246693144803,0.016505719907407405
169,5.847555,346.38642946100583,0.016603041666666665
170,5.837078,342.7762836115805,0.016700855324074074
171,5.801678,330.85426784097456,0.016798913194444445
172,5.837312,342.8565026472067,0.016897202546296296
173,5.777394,322.91657237519235,0.01699492939814815
174,5.774584,322.0104505042823,0.017092180555555555
175,5.788778,326.61365852241727,0.01718958449074074
176,5.757021,316.4043549932682,0.017287193287037036
177,5.742039,311.6993183835104,0.017385197916666664
178,5.742373,311.8034433437507,0.01748446875
179,5.731344,308.3834573467505,0.017583524305555556
180,5.743056,312.0164778385531,0.017681276620370372
181,5.711867,302.43518800917656,0.017778885416666668
182,5.680174,293.00040755828275,0.017876178240740743
183,5.674767,291.42042967412965,0.01797346990740741
184,5.704637,300.2564671663801,0.018071488425925927
185,5.651299,284.6610003987697,0.018170266203703704
186,5.673976,291.19000725833695,0.018269805555555556
187,5.689251,295.6720792962146,0.01836856828703704
188,5.640955,281.73164376280994,0.018466600694444446
189,5.624109,277.0253449455424,0.018564171296296297
190,5.633179,279.5493940836762,0.018661572916666667
191,5.609932,273.1256648280675,0.018759277777777777
192,5.59722,269.6756660275544,0.01885776736111111
193,5.579686,264.98838636814236,0.018956814814814815
194,5.574912,263.7263466972513,0.01905453587962963
