iteration,loss,ppl,time
1,11.07741,64693.111079136586,6.001504629629629e-05
2,11.07807,64735.82262570875,0.00011370833333333334
3,11.07755,64702.168748709744,0.00016143750000000001
4,11.07536,64560.62604498169,0.00020772685185185187
5,11.0741,64479.33088287248,0.00025472222222222226
6,11.07262,64383.97205610386,0.0003004305555555556
7,11.07388,64465.14699036371,0.000347337962962963
8,11.07432,64493.51789618099,0.00039375810185185184
9,11.07467,64516.09457813347,0.0004407002314814815
10,11.07239,64369.165445356455,0.0004874328703703704
11,11.07213,64352.43163782985,0.0005370011574074075
12,11.0727,64389.12297990247,0.0005837708333333334
13,11.07303,64410.37489685927,0.0006317037037037038
14,11.07286,64399.42606380406,0.0006790219907407408
15,11.07067,64258.54564109354,0.0007261840277777779
16,11.06659,63996.90488496832,0.0007728356481481483
17,11.06619,63971.311242084215,0.0008201064814814816
18,11.06566,63937.4154303094,0.0008674641203703704
19,11.06475,63879.25884752632,0.0009150682870370372
20,11.06317,63778.40931066137,0.0009625717592592594
21,11.06287,63759.27865760966,0.0010097800925925927
22,11.04502,62631.27293515209,0.0010576250000000002
23,11.04238,62466.144440123375,0.0011042546296296297
24,11.04258,62478.63891841755,0.0011514166666666667
25,11.04268,62484.88709471309,0.0011987372685185185
26,11.03663,62107.9947766516,0.0012467719907407408
27,11.03741,62156.45791074253,0.0012969131944444445
28,11.03589,62062.051861491986,0.0013440868055555556
29,10.96579,57860.48726829867,0.0013918657407407408
30,10.95982,57516.08921039724,0.0014395983796296296
31,10.95836,57432.17699097585,0.001487119212962963
32,10.95462,57217.78181790931,0.0015343055555555557
33,10.95254,57098.89251946203,0.001582320601851852
34,10.95105,57013.878520765335,0.0016304363425925926
35,10.93111,55888.28128240674,0.0016783287037037038
36,10.92959,55803.3956243009,0.0017261006944444446
37,10.92629,55619.54793427104,0.001774266203703704
38,10.92306,55440.186618905835,0.001822252314814815
39,10.91815,55168.64248898024,0.0018695219907407408
40,10.66604,42874.820591299555,0.0019171736111111112
41,10.66726,42927.15979284208,0.0019644872685185186
42,10.65804,42533.1903694823,0.0020118078703703704
43,10.65475,42393.486112683524,0.002059420138888889
44,10.63695,41645.55836451783,0.002109913194444444
45,10.63455,41545.72886775726,0.0021576134259259257
46,10.62786,41268.715584234065,0.00220558912037037
47,10.56733,38844.81947276777,0.0022530601851851848
48,10.56669,38819.96674202732,0.0023005370370370367
49,10.55707,38448.30920097241,0.002347802083333333
50,10.54314,37916.43734185892,0.0023948356481481477
51,10.53542,37624.84942312579,0.0024422326388888883
52,10.49483,36128.23602682349,0.0024894976851851844
53,10.11505,24712.142475014618,0.0025365636574074066
54,10.12434,24942.78796812106,0.0025845069444444435
55,10.11238,24646.249061459046,0.0026320416666666658
56,10.09725,24276.158111177225,0.002679888888888888
57,10.0816,23899.19367732341,0.0027284537037037026
58,10.05611,23297.70181174465,0.00277535648148148
59,10.04285,22990.81345215213,0.002821618055555554
60,10.027,22629.281766255714,0.0028684201388888874
61,10.01052,22259.407339184305,0.0029177037037037023
62,9.960547,21174.374933384475,0.002963958333333332
63,9.909117,20112.906451572824,0.0030099398148148134
64,9.905184,20033.957744898536,0.003056868055555554
65,9.890103,19734.092445775244,0.00310320023148148
66,9.882221,19579.159721096323,0.003149436342592591
67,9.845554,18874.253053317345,0.0031955937499999983
68,9.832852,18636.02845837364,0.00324220023148148
69,9.798129,18000.035336225243,0.0032887152777777763
70,9.703767,16379.191545624106,0.0033352928240740726
71,9.6619,15707.60077529068,0.003382456018518517
72,9.651608,15546.7672172931,0.003429240740740739
73,9.633617,15269.566365449646,0.0034762152777777764
74,9.627293,15173.306322819599,0.003523461805555554
75,9.611065,14929.061073863877,0.0035698101851851837
76,9.587063,14574.999836487557,0.003616612268518517
77,9.567223,14288.681509327398,0.003666234953703702
78,9.541986,13932.590290643331,0.0037135196759259244
79,9.551464,14065.271162818408,0.003760053240740739
80,9.531299,13784.485505734308,0.003807379629629628
81,9.509825,13491.633074108155,0.003853877314814813
82,9.47817,13071.244236719858,0.0038998958333333316
83,9.460738,12845.36082697539,0.003946194444444443
84,9.434351,12510.843159116108,0.003992880787037036
85,9.426672,12415.140315839682,0.004040265046296295
86,9.417497,12301.75236608261,0.00408682986111111
87,9.398036,12064.66244943859,0.004134258101851851
88,9.39564,12035.790121071688,0.004181062499999999
89,9.376261,11804.794010218176,0.004227385416666666
90,9.37435,11782.256590228191,0.004274624999999999
91,9.375704,11798.22057082732,0.004320935185185184
92,9.355219,11558.992679753881,0.004367652777777777
93,9.330234,11273.769238897201,0.004414212962962962
94,9.333931,11315.525502667262,0.004463133101851851
95,9.319794,11156.68333990173,0.004510199074074073
96,9.322183,11183.368519155645,0.004556401620370369
97,9.316551,11120.560820154726,0.00460316898148148
98,9.290893,10838.858879135778,0.004649774305555554
99,9.290439,10833.93915406673,0.0046963356481481465
100,9.274532,10662.967115164867,0.004742530092592591
101,9.265697,10569.174738622674,0.004789327546296294
102,9.268127,10594.889063488868,0.004835519675925924
103,9.253469,10440.721831554505,0.004881850694444442
104,9.242407,10325.863021979287,0.004928267361111109
105,9.228906,10187.390408057832,0.004974854166666665
106,9.231689,10215.78140330911,0.00502094560185185
107,9.211624,10012.844522268884,0.005067156249999999
108,9.216333,10060.106197404008,0.005113706018518517
109,9.19781,9875.478062599412,0.005160317129629628
110,9.184323,9743.18163629797,0.005209218749999999
111,9.195335,9851.066476194,0.005255499999999999
112,9.192946,9827.56036760881,0.005301804398148147
113,9.172308,9626.81776475235,0.005348351851851851
114,9.170343,9607.919641331713,0.0053943402777777765
115,9.164301,9550.043610415463,0.005441312499999999
116,9.160941,9518.00931164426,0.005488650462962962
117,9.145376,9371.008498340509,0.005535996527777777
118,9.141356,9333.412662437637,0.005584811342592592
119,9.127835,9208.064912929773,0.00563254861111111
120,9.122433,9158.457057723379,0.005680199074074073
121,9.105465,9004.367352445859,0.005728362268518517
122,9.096375,8922.888535471153,0.0057765636574074065
123,9.083162,8805.765884016106,0.005823547453703703
124,9.058605,8592.156231916033,0.005871410879629629
125,9.052666,8541.278646589226,0.005919072916666666
126,9.035349,8394.64263655622,0.005965722222222222
127,9.029615,8346.645494990194,0.006015800925925926
128,9.032449,8370.333438284393,0.00606297337962963
129,9.03371,8380.895086469722,0.006109913194444445
130,9.035402,8395.087564406436,0.006157038194444445
131,9.003512,8131.5919891833455,0.006204119212962963
132,8.983067,7967.029562561473,0.006252002314814815
133,8.981577,7955.167527923632,0.006299325231481482
134,8.982052,7958.947130083843,0.006347152777777779
135,8.95736,7764.8312250338695,0.006395253472222223
136,8.958778,7775.8495658683905,0.006442453703703705
137,8.949299,7702.490522304316,0.006489483796296297
138,8.93273,7575.919430684252,0.006536631944444445
139,8.945995,7677.083489150201,0.0065835081018518525
140,8.918062,7465.606854714674,0.006631697916666668
141,8.923395,7505.5272892953235,0.006679370370370371
142,8.903606,7358.460362779988,0.00672692013888889
143,8.908052,7391.248912488216,0.006774016203703705
144,8.882982,7208.253731196577,0.00682341550925926
145,8.900583,7336.249326000073,0.006870289351851852
